id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
63075,Backyard Basketball,2003-10-21,,https://www.mobygames.com/game/63075/backyard-basketball/,PlayStation 2,"Sports, Basketball, Licensed, 3rd-person (Other), Regional differences","SolWorks, Humongous Entertainment, Inc.","Atari, Inc."
136684,Battlestrike: Shadow of Stalingrad,2009-03-23,,https://www.mobygames.com/game/136684/battlestrike-shadow-of-stalingrad/,Windows,"Action, 1st-person, Shooter, War, World War II, Regional differences",City Interactive S.A.,"City Interactive S.A., Noviy Disk"
57137,Caillou: Alphabet,2003,,https://www.mobygames.com/game/57137/caillou-alphabet/,"Macintosh, Windows","Educational, Puzzle elements, Reading / writing, Pre-school / toddler, Licensed, Regional differences","FiniteMonkey, Inc.","Brighter Child Interactive, LLC"
30457,Chubby Cherub,1985-12-16,,https://www.mobygames.com/game/30457/chubby-cherub/,NES,"Action, Side view, Licensed, 2D scrolling, Direct control, Regional differences","Tose Co., Ltd.","Bandai America, Inc., Bandai Co., Ltd."
33182,Close Quarters Conflict,2006-12-06,,https://www.mobygames.com/game/33182/close-quarters-conflict/,Windows,"Action, 1st-person, Shooter, Regional differences",Direct Action Games,Groove Games
52826,Code of Honor 3: Desperate Measures,2009,,https://www.mobygames.com/game/52826/code-of-honor-3-desperate-measures/,Windows,"Action, 1st-person, Shooter, Direct control, Europe, Regional differences",City Interactive S.A.,"Micro Application, S.A., City Interactive S.A."
206919,Combat Zone: Special Forces,2010,,https://www.mobygames.com/game/206919/combat-zone-special-forces/,Windows,"Action, 1st-person, Shooter, Direct control, Contemporary, Regional differences",City Interactive S.A.,City Interactive S.A.
35377,Cyber Spin,1992-03-19,,https://www.mobygames.com/game/35377/cyber-spin/,SNES,"Racing / Driving, Sci-fi / futuristic, Top-down, Licensed, Africa, Regional differences","Arc Co., Ltd.","TAKARA Co., Ltd."
206777,Day of Love,2000-04-25,,https://www.mobygames.com/game/206777/day-of-love/,"Windows, PlayStation, DVD Player, OOParts","Adventure, 1st-person, Anime / Manga, Adult, Visual novel, Romance, Fixed / flip-screen, Menu structures, Regional differences",Actress Inc.,"Denno Club, Hirameki International Group Inc., ZEROSYSTEM Co.,Ltd., Actress Inc."
139606,Deal or No Deal,2006-11,,https://www.mobygames.com/game/139606/deal-or-no-deal/,J2ME,"Simulation, 1st-person, Game show / trivia / quiz, Licensed, Regional differences",Gameloft Privated Ltd.,Gameloft S.A.
